PRODUCTID,RECALLEVENTID,PRODUCTTYPESHORT,FIRMCITYNAM,FIRMCOUNTRYNAM,PHASETXT,RECALLINITIATIONDT,FIRMLEGALNAM,DISTRIBUTIONAREASUMMARYTXT,CENTERCD,FIRMSTATEPRVNCNAM,CENTERCLASSIFICATIONDT,TERMINATIONDT,CENTERCLASSIFICATIONTYPETXT,ENFORCEMENTREPORTDT,EVENTLMD,PRODUCTDESCRIPTIONTXT,PRODUCTSHORTREASONTXT,RECALLNUM,PRODUCTDISTRIBUTEDQUANTITY,RID
205274,93710,Drugs,Englewood,United States,Ongoing,12/28/2023,"Denver Solutions, LLC DBA Leiters Health",Nationwide within the United States,CDER,Colorado,01/29/2024,,1,02/07/2024,01/29/2024,"VANCOmycin HCl PF 1.25g added to 0.9% Sodium Chloride 250 mL IV bag, Item F3206, for IV use only; Leiters 13796 Compark Blvd Englewood, CO 80112; NDC 71449-028-68.",Superpotent Drug: semi-automated IV bag filling system can malfunction and provide a double dose of drug product to IV bags.,D-0281-2024,"10,152 IV bags",47
205271,93710,Drugs,Englewood,United States,Ongoing,12/28/2023,"Denver Solutions, LLC DBA Leiters Health",Nationwide within the United States,CDER,Colorado,01/29/2024,,1,02/07/2024,01/29/2024,"FentaNYL citrate PF, 2500 mcg per 250 mL 0.9% Sodium Chloride (10 mcg per mL), Item F3342, for IV use only; Leiters 13796 Compark Blvd Englewood, CO 80112; NDC 71449-072-82.",Superpotent Drug: semi-automated IV bag filling system can malfunction and provide a double dose of drug product to IV bags.,D-0278-2024,"13,920 IV bags",46
205634,93848,Devices,Nashville,United States,Ongoing,12/28/2023,"MRP, LLC dba Aquabiliti","US Nationwide distribution in the states CO, FL, NC, NY, OH, PA, TN, TX, and VA.",CDRH,Tennessee,02/22/2024,,2,02/28/2024,02/22/2024,"AQUABILITI AQUASTAT 0.9% Sodium Chloride Injection syringe, USP, 5mL in 12mL, REF 2T0805; and 3mL in 12mL, REF 2T0807, intermediate cartons containing 100 syringes, shipping cases containing 400 syringes, Rx, Sterile.",The saline flush syringes may fail to meet USP criteria for stated sodium chloride content after 12 months.,Z-1174-2024,"3,080,000 syringes",45
205412,93772,Devices,Wayne,United States,Ongoing,12/28/2023,Maquet Medical Systems USA,"AZ, CA, CO, FL, GA, IA, IL, MN, NE, PA, TX, WA and WI.",CDRH,New Jersey,02/08/2024,,2,02/14/2024,02/08/2024,Bubble Sensor (REF: 70105.5720),The Bubble Sensor optional accessory to the CARDIOHELP-i extracorporeal life support system includes an incorrect UDI Device Identifier (DI) provided with the label attached to the device.,Z-1053-2024,"274 units (70 US, 204 OUS)",44
205252,93708,Drugs,Massena,United States,Ongoing,12/28/2023,Seaway Pharma Inc.,"MI, PA",CDER,New York,01/04/2024,,2,01/10/2024,01/04/2024,"Premier Value Tussin Cough DM, Dextromethorphan HBr...Cough Suppressant, Guaifenesin...Expectorant, Alcohol Free, 8 FL OZ (237 mL) bottle, Distributed by: Pharmacy Value Alliance, LLC, 407 East Lancaster Avenue, Wayne PA 19087, UPC 8-40986-03789-4.

",CGMP Deviations: Firm reported possible microbial contamination in the purified water used in the manufacturing of the products. No contamination was found in the final products.,D-0215-2024,"4,176 bottles",43
205254,93708,Drugs,Massena,United States,Ongoing,12/28/2023,Seaway Pharma Inc.,"MI, PA",CDER,New York,01/04/2024,,2,01/10/2024,01/04/2024,"Quality Choice No Drip Severe Congestion Nasal Pump Mist, Oxymetazoline hydrochloride 0.05%, Nasal Decongestant, 12 Hours, 1 fl. oz. bottle, Distributed by C.D.M.A., Inc., 43157 W 9 Mile Rd., Novi, MI 48375, NDC 63868-608-01, UPC 6-35515-98846-0",CGMP Deviations: Firm reported possible microbial contamination in the purified water used in the manufacturing of the products. No contamination was found in the final products.,D-0217-2024,"8,160 bottles",42
205253,93708,Drugs,Massena,United States,Ongoing,12/28/2023,Seaway Pharma Inc.,"MI, PA",CDER,New York,01/04/2024,,2,01/10/2024,01/04/2024,"Quality Choice No Drip Extra Moisturizing Nasal Pump Mist Oxymetazoline hydrochloride 0.05%, 12 Hour Nasal Decongestant, 1 fl oz (30 mL) bottle, Distributed by C.D.M.A, Inc.
43157 W 9 Mile Rd. Novi, MI 48375, NDC# 63868-676-01, UPC 6-35515-98847-7.
",CGMP Deviations: Firm reported possible microbial contamination in the purified water used in the manufacturing of the products. No contamination was found in the final products.,D-0216-2024,"7,992 bottles",41
205251,93708,Drugs,Massena,United States,Ongoing,12/28/2023,Seaway Pharma Inc.,"MI, PA",CDER,New York,01/04/2024,,2,01/10/2024,01/04/2024,"Nasal Spray Original No Drip Oxymetazoline HCl Nasal Solution, 12 Hour Pump Mist, 1 FL oz. (30 mL) bottle, a) Quality Choice, Distributed by C.D.M.A. Inc., 43157 W 9 Mile Rd, Novi, MI 48375, NDC# 63868-607-01, UPC 6-35515-98843-9, b) Premier Value, Distributed by: Pharmacy Value Alliance, LLC, 407 East Lancaster Avenue, Wayne, PA 19087 UPC 8-40986-03509-8.",CGMP Deviations: Firm reported possible microbial contamination in the purified water used in the manufacturing of the products. No contamination was found in the final products.,D-0214-2024,"7,992 bottles",40
205126,93690,Drugs,Waltham,United States,Ongoing,12/28/2023,"Fresenius Medical Care Holdings, Inc.",Nationwide within the United States,CDER,Massachusetts,01/04/2024,,2,01/10/2024,01/05/2024,"DELFLEX Peritoneal Dialysis Solution in Biofine container 1.5% Dextrose, packaged in 6000mL bags, Rx only, Fresenius Medical Care NA Waltham, MA 02451, NDC 49230-206-62.
",Lack of Sterility Assurance,D-0218-2024,"69,590 bags",39
205807,93676,Devices,Waukegan,United States,Ongoing,12/28/2023,"Cardinal Health 200, LLC","Distribution US nationwide and Canada.

Foreign distribution updated 9/6/2024 to only include Canada.",CDRH,Illinois,02/02/2024,,1,02/14/2024,09/06/2024,"Cardinal Health Monoject, 3 mL Syringe Luer-Lock Tip  Soft Pack, REF 1180300777","Cardinal Health is expanding their previous product correction actions to a product removal of all sizes of Cardinal Health brand Monoject sterile Syringe Luer-Lock (1, 3, 6, 12, 20, 35, and 60 mL) and Cardinal Health brand Monoject sterile Enteral Syringes with the ENFit connection (1, 3, 6, 12, 35, and 60 mL) due to a change in manufacturing and rebranding efforts.",Z-0852-2024,,38
