PRODUCTID,RECALLEVENTID,PRODUCTTYPESHORT,FIRMCITYNAM,FIRMCOUNTRYNAM,PHASETXT,RECALLINITIATIONDT,FIRMLEGALNAM,DISTRIBUTIONAREASUMMARYTXT,CENTERCD,FIRMSTATEPRVNCNAM,CENTERCLASSIFICATIONDT,TERMINATIONDT,CENTERCLASSIFICATIONTYPETXT,ENFORCEMENTREPORTDT,EVENTLMD,PRODUCTDESCRIPTIONTXT,PRODUCTSHORTREASONTXT,RECALLNUM,PRODUCTDISTRIBUTEDQUANTITY,RID
182851,86153,Devices,Arlington,United States,Terminated,07/31/2020,MicroPort Orthopedics Inc.,"worldwide, except China and Japan",CDRH,Tennessee,09/18/2020,04/16/2024,1,09/30/2020,04/16/2024,"PROFEMUR Neck Extra Long Titanium, Catalog Numbers: PHA01206, PHA01236, PHA01256.  Hip prosthesis component","MicroPort Orthopedics Inc. states that there have been reports of fractures of the long and extra-long Titanium modular femoral neck component after implantation.  Worldwide there were 680 Long and X-Long PROFEMUR Titanium modular neck fractures among 123,840 global sales representing is a cumulative rate of modular neck device fracture of 0.55% from 2002 to 2019. Within the United States  there were 349 Long and X-Long PROFEMUR Titanium modular neck fractures among 15,786 United States sales representing a cumulative rate of modular neck device fracture with a fracture rate in the United States of 2.21% from 2002 to 2019.   There is an average time of 5.4 years to device fracture after implantation.",Z-2942-2020,556 units,1900
209481,95116,Devices,Newark,United States,Ongoing,07/30/2024,"Siemens Healthcare Diagnostics, Inc.","Domestic: Nationwide Distribution.

International: Austria, Belgium, Canada, Czech Republic, Denmark, France, Germany, Italy, Qatar, Slovenia, Spain, Switzerland.",CDRH,Delaware,09/06/2024,,2,09/18/2024,09/06/2024,Dimension Vista¿ Total Bilirubin (TBIL) Flex Reagent Cartridge; Siemens Material Number (SMN): 10445146;,"During manufacturing, the last three tests from the 160 test flex of lot 23206BA (wells 8 or 10) were processed on the Dimension Vista platform. There was an issue with the filling line which led to some wells to underfill in lot 23206BA. Calibrator, quality control (QC) and patient results could have been impacted.",Z-3065-2024,"5,371 units (4,394 US, 977 OUS)",1906
209476,95112,Devices,Tarrytown,United States,Ongoing,07/29/2024,"Siemens Healthcare Diagnostics, Inc.","Worldwide - US Nationwide distribution in the states of CA, FL, GA, IA, IL, KY, LA, MS, NJ, NY, NV, PA, TX, VA, PR and the countries of Australia, Austria, Bahrain, Bangladesh, Belgium, Brazil, Canada, Chile, China, Columbia, Croatia, Cura¿ao, St Eus, Czech Republic, Egypt, Estonia, Finland, France, Georgia, Germany, Greece, Hong Kong, Hungary, India, India, Ireland, Italy, Jordan, Kenya, Korea, Kuwait, Latvia, Malaysia, Mexico, Netherlands, New Zealand, Norway, Oman, Pakistan, Paraguay, Peru, Philippines, Poland, Portugal, Romania, Saudi Arabia, Singapore, Slovakia, South Africa, South Africa, Spain, Sweden, Switzerland, Taiwan, Thailand, Tunisia, Turkey, U.A.E., United Kingdom, Uruguay, Vatikancity.",CDRH,New York,09/06/2024,,2,09/18/2024,09/06/2024,Atellica CH Urinary/Cerebrospinal Fluid Protein (UCFP); Siemens Material Number (SMN): 11097543,"The potential for biased quality control (QC) and
patient results when using Atellica CH UCFP lot 130414 and ADVIA Chemistry UCFP lot
140 reagents.",Z-3063-2024,"1,164 units (229 US, 935 OUS)",1908
209480,95115,Devices,Mortsel,Belgium,Ongoing,07/29/2024,Agfa N.V.,"Worldwide - US Nationwide distribution in the states of CA, FL, IL, IN, KS, LA, MA, MO, NJ, NC, OH, OK, SC, VA, WV, WI; and the countries of AU, BE, BW, CA, CO, CZ, DE, ES, FR, GB, GR, IL, IN, IT, KZ, MX, PL, RS, UZ, ZA.",CDRH,,08/27/2024,,2,09/04/2024,08/27/2024,DR 800. Digital Radiography X-ray System.,Potential for the front lever chain of the DR 800 table to fail.,Z-2738-2024,141 units,1907
209477,95112,Devices,Tarrytown,United States,Ongoing,07/29/2024,"Siemens Healthcare Diagnostics, Inc.","Worldwide - US Nationwide distribution in the states of CA, FL, GA, IA, IL, KY, LA, MS, NJ, NY, NV, PA, TX, VA, PR and the countries of Australia, Austria, Bahrain, Bangladesh, Belgium, Brazil, Canada, Chile, China, Columbia, Croatia, Cura¿ao, St Eus, Czech Republic, Egypt, Estonia, Finland, France, Georgia, Germany, Greece, Hong Kong, Hungary, India, India, Ireland, Italy, Jordan, Kenya, Korea, Kuwait, Latvia, Malaysia, Mexico, Netherlands, New Zealand, Norway, Oman, Pakistan, Paraguay, Peru, Philippines, Poland, Portugal, Romania, Saudi Arabia, Singapore, Slovakia, South Africa, South Africa, Spain, Sweden, Switzerland, Taiwan, Thailand, Tunisia, Turkey, U.A.E., United Kingdom, Uruguay, Vatikancity.",CDRH,New York,09/06/2024,,2,09/18/2024,09/06/2024,ADVIA Chemistry Urinary/Cerebrospinal Fluid Protein (UCFP); Siemens Material Number (SMN): 11319151,"The potential for biased quality control (QC) and
patient results when using Atellica CH UCFP lot 130414 and ADVIA Chemistry UCFP lot
140 reagents.",Z-3064-2024,"143 units (17 US, 126 OUS)",1909
195292,90638,Drugs,Shelton,United States,Terminated,07/29/2022,"Edgewell Personal Care Brands, LLC",USA nationwide.,CDER,Connecticut,12/29/2023,02/09/2024,1,09/21/2022,02/09/2024,"Banana Boat hair & scalp defense, Clear Sunscreen Spray SPF 30, Avobenzone 2.0%, Homosalate 6.0%, Octocrylene 6.0%, packaged in Net Wt 6 oz. aluminum spray can, Distributed by: Edgewell Personal Care Brands, LLC, Shelton, CT 06484, UPC 0 79656 04041 8",Chemical contamination: presence of benzene,D-0212-2024,"139,680  aluminum spray cans",1910
188673,88442,Drugs,Parsippany,United States,Terminated,07/29/2021,Teva Pharmaceuticals USA,"Product was distributed Nationwide, including Puerto Rico.",CDER,New Jersey,08/16/2021,06/04/2024,2,08/25/2021,06/04/2024,"Haloperidol Decanoate Injection 100 mg/mL, packaged in a) 1 mL single-dose vials (NDC 0703-7131-01), b) 5 mL multi-dose vials (NDC 0703-7133-01), Rx only, Teva Pharmaceuticals USA, Inc. North Wales, PA 19454.",Lack of Assurance of Sterility,D-0732-2021,"16,226 vials",1921
188677,88442,Drugs,Parsippany,United States,Terminated,07/29/2021,Teva Pharmaceuticals USA,"Product was distributed Nationwide, including Puerto Rico.",CDER,New Jersey,08/16/2021,06/04/2024,2,08/25/2021,06/04/2024,"Vecuronium Bromide for Injection 10 mg, 10mL vial, Rx only, Teva Pharmaceuticals USA, North Wales, PA 19454, NDC 0703-2914-01",Lack of Assurance of Sterility,D-0735-2021,"62,358 vials",1920
188788,88442,Drugs,Parsippany,United States,Terminated,07/29/2021,Teva Pharmaceuticals USA,"Product was distributed Nationwide, including Puerto Rico.",CDER,New Jersey,08/16/2021,06/04/2024,2,08/25/2021,06/04/2024,"Octreotide Acetate Injection 100 mcg/mL, 1 mL single-dose vial, Rx only, Teva Pharmaceuticals USA. Inc. North Wales, PA 19454, NDC 0703-3311-01",Lack of Assurance of Sterility,D-0744-2021,"3,067 vials",1923
188686,88442,Drugs,Parsippany,United States,Terminated,07/29/2021,Teva Pharmaceuticals USA,"Product was distributed Nationwide, including Puerto Rico.",CDER,New Jersey,08/16/2021,06/04/2024,2,08/25/2021,06/04/2024,"Epoprostenol Sodium for Injection, 1.5 mg/vial, 10 mL vials, Rx only, Teva Pharmaceuticals USA, Inc. North Wales, PA 19454, NDC 0703-1995-01",Lack of Assurance of Sterility,D-0738-2021,"12,698 vials",1924
188674,88442,Drugs,Parsippany,United States,Terminated,07/29/2021,Teva Pharmaceuticals USA,"Product was distributed Nationwide, including Puerto Rico.",CDER,New Jersey,08/16/2021,06/04/2024,2,08/25/2021,06/04/2024,"Amikacin Sulfate Injection USP 1 gram/4mL (250mg/ML), 4 mL single-dose vials, Rx only, Teva Pharmaceuticals USA Inc. North Wales, PA 19454, NDC 0703-9040-01",Lack of Assurance of Sterility,D-0733-2021,"4,712 vials",1925
188671,88442,Drugs,Parsippany,United States,Terminated,07/29/2021,Teva Pharmaceuticals USA,"Product was distributed Nationwide, including Puerto Rico.",CDER,New Jersey,08/16/2021,06/04/2024,2,08/25/2021,06/04/2024,"DAUNOrubicin Hydrochloride Injection 20 mg/4mL, 4mL Single Dose vials, 10 in 1 carton, Rx only, Teva Parenteral Medicines, Inc. Irvine, CA 92618
Vial NDC# 0703-5233-11, Carton NDC # 0703-5233-13",Lack of Assurance of Sterility,D-0730-2021,"1,351 vials",1926
188672,88442,Drugs,Parsippany,United States,Terminated,07/29/2021,Teva Pharmaceuticals USA,"Product was distributed Nationwide, including Puerto Rico.",CDER,New Jersey,08/16/2021,06/04/2024,2,08/25/2021,06/04/2024,"Methylprednisolone Acetate Injectable Suspension USP, 40 mg/mL, packaged in a) 1 mL Single-Dose vials (0703-0031-01), and b) 5mL Multi Dose Vials (NDC 0703-0043-01), and c) 10 mL Multi-Dose Vials (NDC 0703-0045-01), Rx only, TEVA PHARMACEUTICALS USA, INC. North Wales, PA 19454.",Lack of Assurance of Sterility,D-0731-2021,"193,845 vials",1927
188789,88442,Drugs,Parsippany,United States,Terminated,07/29/2021,Teva Pharmaceuticals USA,"Product was distributed Nationwide, including Puerto Rico.",CDER,New Jersey,08/16/2021,06/04/2024,2,08/25/2021,06/04/2024,"Octreotide Acetate Injection 50 mcg/mL, 1 mL single-dose vial, Rx only, Teva Pharmaceuticals USA. Inc. North Wales, PA 19454, NDC 0703-3301-01",Lack of Assurance of Sterility,D-0745-2021,"6,184 vials",1928
188675,88442,Drugs,Parsippany,United States,Terminated,07/29/2021,Teva Pharmaceuticals USA,"Product was distributed Nationwide, including Puerto Rico.",CDER,New Jersey,08/16/2021,06/04/2024,2,08/25/2021,06/04/2024,"Idarubicin Hydrochloride Injection 20 mg/20 mL, 20 mL single-dose vial, Rx only, Teva Pharmaceuticals USA, Inc. North Wales, PA 19454, NDC 0703-4156-11",Lack of Assurance of Sterility,D-0734-2021,"2,091 vials",1929
188690,88442,Drugs,Parsippany,United States,Terminated,07/29/2021,Teva Pharmaceuticals USA,"Product was distributed Nationwide, including Puerto Rico.",CDER,New Jersey,08/16/2021,06/04/2024,2,08/25/2021,06/04/2024,"Adenosine Injection, USP, 60mg/20mL (3 mg/mL), 20 mL single-dose vial, Rx only, Manufactured by: Teva Pharmaceuticals USA Inc. Parsippany, NJ 07054, NDC 0703-8776-01",Lack of Assurance of Sterility,D-0740-2021,"4,249 vials",1911
188799,88442,Drugs,Parsippany,United States,Terminated,07/29/2021,Teva Pharmaceuticals USA,"Product was distributed Nationwide, including Puerto Rico.",CDER,New Jersey,08/16/2021,06/04/2024,2,08/25/2021,06/04/2024,"Leucovorin Calcium for Injection, USP 350 mg/vial, 17.5 mL single-use vials, Rx only, Manufactured by: Teva Pharmaceuticals USA, Inc. North Wales, PA 19454, NDC 0703-5145-91",Lack of Assurance of Sterility,D-0747-2021,"42,046 vials",1912
188692,88442,Drugs,Parsippany,United States,Terminated,07/29/2021,Teva Pharmaceuticals USA,"Product was distributed Nationwide, including Puerto Rico.",CDER,New Jersey,08/16/2021,06/04/2024,2,08/25/2021,06/04/2024,"Metoclopramide Injection USP, 10 mg/2mL (5 mg/mL) 2 mL single-use vial, Rx only, Teva Parenteral Medicines, Inc. Irvine, CA 92618, NDC 0703-4502-01",Lack of Assurance of Sterility,D-0741-2021,"25,653 vials",1913
188798,88442,Drugs,Parsippany,United States,Terminated,07/29/2021,Teva Pharmaceuticals USA,"Product was distributed Nationwide, including Puerto Rico.",CDER,New Jersey,08/16/2021,06/04/2024,2,08/25/2021,06/04/2024,"Leucovorin Calcium for Injection, USP 100 mg/vial, 10 mL single-use vials, Rx only, Teva Parenteral Medicines, Inc. Irvine, CA 92618, NDC 0703-5140-01",Lack of Assurance of Sterility,D-0746-2021,"476,275 vials",1914
188678,88442,Drugs,Parsippany,United States,Terminated,07/29/2021,Teva Pharmaceuticals USA,"Product was distributed Nationwide, including Puerto Rico.",CDER,New Jersey,08/16/2021,06/04/2024,2,08/25/2021,06/04/2024,"Octreotide Acetate Injection 1000 mcg/5mL, 5 mL multi-dose vial, Rx only, Teva Pharmaceuticals USA. Inc. North Wales, PA 19454, NDC 0703-3333-01
",Lack of Assurance of Sterility,D-0736-2021,"16,644 vials",1915
188781,88442,Drugs,Parsippany,United States,Terminated,07/29/2021,Teva Pharmaceuticals USA,"Product was distributed Nationwide, including Puerto Rico.",CDER,New Jersey,08/16/2021,06/04/2024,2,08/25/2021,06/04/2024,"Methylprednisolone Acetate Injectable Suspension USP, 80 mg/mL, packaged in a) 1 mL Single-Dose vials (0703-0051-01), and b) 5mL Multi Dose Vials (NDC 0703-0063-01),  Rx only, TEVA PHARMACEUTICALS USA, INC. North Wales, PA 19454.",Lack of Assurance of Sterility,D-0743-2021,"50,713 vials",1916
188679,88442,Drugs,Parsippany,United States,Terminated,07/29/2021,Teva Pharmaceuticals USA,"Product was distributed Nationwide, including Puerto Rico.",CDER,New Jersey,08/16/2021,06/04/2024,2,08/25/2021,06/04/2024,"Leucovorin Calcium for Injection, USP 350 mg/vial, 17.5 mL single-use vials, Rx only, Teva Parenteral Medicines, Inc. Irvine, CA 92618, NDC 0703-5145-01",Lack of Assurance of Sterility,D-0737-2021,"434,229 vials",1917
188694,88442,Drugs,Parsippany,United States,Terminated,07/29/2021,Teva Pharmaceuticals USA,"Product was distributed Nationwide, including Puerto Rico.",CDER,New Jersey,08/16/2021,06/04/2024,2,08/25/2021,06/04/2024,"Alprostadil Injection USP, 500 mg/mL, 1 mL single dose, vials, 5 mL single use vial per carton (NDC 0703-1501-02), Rx only, Teva Pharmaceuticals USA, Inc. Parsippany, NJ 07054, Vial NDC 0703-1501-01",Lack of Assurance of Sterility,D-0742-2021,"2,199 vials",1918
188687,88442,Drugs,Parsippany,United States,Terminated,07/29/2021,Teva Pharmaceuticals USA,"Product was distributed Nationwide, including Puerto Rico.",CDER,New Jersey,08/16/2021,06/04/2024,2,08/25/2021,06/04/2024,"Norepinephrine Bitartrate Injection, USP 4 mg/4 mL, 4 mL single dose vials, packaged in 10 vial cartons (NDC 0703-1153-03) Rx only, Teva Pharmaceuticals USA Inc. North Wales, PA 19454, vial NDC 0703-1153-01",Lack of Assurance of Sterility,D-0739-2021,"34,100 vials",1919
188803,88442,Drugs,Parsippany,United States,Terminated,07/29/2021,Teva Pharmaceuticals USA,"Product was distributed Nationwide, including Puerto Rico.",CDER,New Jersey,08/16/2021,06/04/2024,2,08/25/2021,06/04/2024,"Adenosine Injection, USP, 60mg/20 mL (3 mg/mL), 20 mL single-dose vial, Rx only, Mfd in the USA for: NorthStar Rx LLC Memphis, TN 38141, NDC 16714-180-01",Lack of Assurance of Sterility,D-0748-2021,"20,800 vials",1922
182849,86153,Devices,Arlington,United States,Terminated,07/31/2020,MicroPort Orthopedics Inc.,"worldwide, except China and Japan",CDRH,Tennessee,09/18/2020,04/16/2024,1,09/30/2020,04/16/2024,"PROFEMUR Neck Long Titanium, Catalog Numbers:  PHA01204, PHA01214, PHA01224, PHA01234, PHA01244, PHA01254, PHA01264.  Hip prosthesis component.","MicroPort Orthopedics Inc. states that there have been reports of fractures of the long and extra-long Titanium modular femoral neck component after implantation.  Worldwide there were 680 Long and X-Long PROFEMUR Titanium modular neck fractures among 123,840 global sales representing is a cumulative rate of modular neck device fracture of 0.55% from 2002 to 2019. Within the United States  there were 349 Long and X-Long PROFEMUR¿ Titanium modular neck fractures among 15,786 United States sales representing a cumulative rate of modular neck device fracture with a fracture rate in the United States of 2.21% from 2002 to 2019.   There is an average time of 5.4 years to device fracture after implantation.",Z-2941-2020,"123,284 units",1901
175761,83549,Devices,Lake Forest,United States,Terminated,07/29/2019,ICU Medical Inc,"Nationwide distribution to AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VI, VT, WA, WI, WV, WY.  

International distribution to Canada, Chile, France, Germany, Greece, Hong Kong, Ireland, Italy, Oman, Philippines, Poland, Saudi Arabia, South Africa, Spain, Taiwan, Turkey, United Arab Emirates, United Kingdom.",CDRH,Illinois,10/14/2019,01/12/2024,2,10/23/2019,01/12/2024,"Infusion Pump I.V. Administration, specifically Plum Microbore Infusion Sets with Inline Filters labeled as Primary PLUM Set Yellow Striped Tubing, Distal Microbore Tubing, 0.2 Micron Filter, Secure Lock, 107 Inch.  1 unit per pouch; 48 pouches per case 

",Potential for fluid leakage out of air vents on inline filters on Plum and Sapphire micropore infusion sets.,Z-0128-2020,"1,536 units",1930
175778,83549,Devices,Lake Forest,United States,Terminated,07/29/2019,ICU Medical Inc,"Nationwide distribution to AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VI, VT, WA, WI, WV, WY.  

International distribution to Canada, Chile, France, Germany, Greece, Hong Kong, Ireland, Italy, Oman, Philippines, Poland, Saudi Arabia, South Africa, Spain, Taiwan, Turkey, United Arab Emirates, United Kingdom.",CDRH,Illinois,10/14/2019,01/12/2024,2,10/23/2019,01/12/2024,"Infusion Pump I.V. Administration, specifically Sapphire Microbore Infusion Sets with Inline Filters labeled as SAPPHIRE Epidural Set Yellow-Striped Microbore, 0.2 Micron Filter 301 cm / 8.3 mL.  1 unit per blister; 40 blisters per case .  Not distributed in the U.S.

",Potential for fluid leakage out of air vents on inline filters on Plum and Sapphire micropore infusion sets.,Z-0144-2020,"6,516 units",1932
175772,83549,Devices,Lake Forest,United States,Terminated,07/29/2019,ICU Medical Inc,"Nationwide distribution to AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VI, VT, WA, WI, WV, WY.  

International distribution to Canada, Chile, France, Germany, Greece, Hong Kong, Ireland, Italy, Oman, Philippines, Poland, Saudi Arabia, South Africa, Spain, Taiwan, Turkey, United Arab Emirates, United Kingdom.",CDRH,Illinois,10/14/2019,01/12/2024,2,10/23/2019,01/12/2024,"Infusion Pump I.V. Administration, specifically Plum Microbore Infusion Sets with Inline Filters labeled as Primary PLUM Set 15 Micron Filter in Sight Chamber, CLAVE Secondary Port, 0.2 Micron Filter, CLAVE Y-Site, Polyethylene Lined Light Resistant Tubing, Distal Microbore Tubing, Secure Lock 272 cm / 15 mL.   1 unit per pouch; 50 pouches per case.  Not distributed in the U.S.

",Potential for fluid leakage out of air vents on inline filters on Plum and Sapphire micropore infusion sets.,Z-0138-2020,"6,400 units",1933
175771,83549,Devices,Lake Forest,United States,Terminated,07/29/2019,ICU Medical Inc,"Nationwide distribution to AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VI, VT, WA, WI, WV, WY.  

International distribution to Canada, Chile, France, Germany, Greece, Hong Kong, Ireland, Italy, Oman, Philippines, Poland, Saudi Arabia, South Africa, Spain, Taiwan, Turkey, United Arab Emirates, United Kingdom.",CDRH,Illinois,10/14/2019,01/12/2024,2,10/23/2019,01/12/2024,"Infusion Pump I.V. Administration, specifically Plum Microbore Infusion Sets with Inline Filters labeled as Primary PLUM Set 15 Micron Filter in Sight Chamber, CLAVE Secondary Port, 0.2 Micron Filter, CLAVE Y-Site, Polyethylene Lined Light Resistant Tubing, Distal Microbore Tubing, Secure Lock 272 cm / 15 mL.   1 unit per pouch; 50 pouches per case.  Not distributed in the U.S.

",Potential for fluid leakage out of air vents on inline filters on Plum and Sapphire micropore infusion sets.,Z-0137-2020,"280,826 units",1934
175781,83549,Devices,Lake Forest,United States,Terminated,07/29/2019,ICU Medical Inc,"Nationwide distribution to AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VI, VT, WA, WI, WV, WY.  

International distribution to Canada, Chile, France, Germany, Greece, Hong Kong, Ireland, Italy, Oman, Philippines, Poland, Saudi Arabia, South Africa, Spain, Taiwan, Turkey, United Arab Emirates, United Kingdom.",CDRH,Illinois,10/14/2019,01/12/2024,2,10/23/2019,01/12/2024,"Infusion Pump I.V. Administration, specifically Sapphire Microbore Infusion Sets with Inline Filters labeled as SAPPHIRE Epidural Set with NRFit Connector Yellow-Striped Microbore, 0.2 Micron Filter, PAV, 123 Inch.    1 unit per pouch; 50 pouches per case 
",Potential for fluid leakage out of air vents on inline filters on Plum and Sapphire micropore infusion sets.,Z-0147-2020,50 units,1935
175777,83549,Devices,Lake Forest,United States,Terminated,07/29/2019,ICU Medical Inc,"Nationwide distribution to AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VI, VT, WA, WI, WV, WY.  

International distribution to Canada, Chile, France, Germany, Greece, Hong Kong, Ireland, Italy, Oman, Philippines, Poland, Saudi Arabia, South Africa, Spain, Taiwan, Turkey, United Arab Emirates, United Kingdom.",CDRH,Illinois,10/14/2019,01/12/2024,2,10/23/2019,01/12/2024,"Infusion Pump I.V. Administration, specifically Sapphire Microbore Infusion Sets with Inline Filters labeled as SAPPHIRE Epidural Set Yellow-Striped Microbore, 0.2 Micron Filter 301 cm / 8.3 mL.  1 unit per blister; 40 blisters per case .  Not distributed in the U.S.

",Potential for fluid leakage out of air vents on inline filters on Plum and Sapphire micropore infusion sets.,Z-0143-2020,400  units,1936
175763,83549,Devices,Lake Forest,United States,Terminated,07/29/2019,ICU Medical Inc,"Nationwide distribution to AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VI, VT, WA, WI, WV, WY.  

International distribution to Canada, Chile, France, Germany, Greece, Hong Kong, Ireland, Italy, Oman, Philippines, Poland, Saudi Arabia, South Africa, Spain, Taiwan, Turkey, United Arab Emirates, United Kingdom.",CDRH,Illinois,10/14/2019,01/12/2024,2,10/23/2019,01/12/2024,"Infusion Pump I.V. Administration, specifically Sapphire Microbore Infusion Sets with Inline Filters labeled as SAPPHIRE Primary 0.2 Micron Filter Set, Microbore, CLAVE Y-Site, 118 Inch.   1 unit per pouch; 50 pouches per case 

",Potential for fluid leakage out of air vents on inline filters on Plum and Sapphire micropore infusion sets.,Z-0130-2020,"45,900 units",1937
175773,83549,Devices,Lake Forest,United States,Terminated,07/29/2019,ICU Medical Inc,"Nationwide distribution to AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VI, VT, WA, WI, WV, WY.  

International distribution to Canada, Chile, France, Germany, Greece, Hong Kong, Ireland, Italy, Oman, Philippines, Poland, Saudi Arabia, South Africa, Spain, Taiwan, Turkey, United Arab Emirates, United Kingdom.",CDRH,Illinois,10/14/2019,01/12/2024,2,10/23/2019,01/12/2024,"Infusion Pump I.V. Administration, specifically Plum Microbore Infusion Sets with Inline Filters labeled as Primary PLUM Set, 15 Micron Filter in Sight Chamber, CLAVE Secondary Port, 0.2 Micron Filter, Polyethylene Lined Light Resistant Tubing, Distal Microbore Tubing, Secure Lock 269 cm / 14 mL.   1 unit per pouch; 50 pouches per case.  Not distributed in the U.S.

",Potential for fluid leakage out of air vents on inline filters on Plum and Sapphire micropore infusion sets.,Z-0139-2020,521 units,1938
175768,83549,Devices,Lake Forest,United States,Terminated,07/29/2019,ICU Medical Inc,"Nationwide distribution to AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VI, VT, WA, WI, WV, WY.  

International distribution to Canada, Chile, France, Germany, Greece, Hong Kong, Ireland, Italy, Oman, Philippines, Poland, Saudi Arabia, South Africa, Spain, Taiwan, Turkey, United Arab Emirates, United Kingdom.",CDRH,Illinois,10/14/2019,01/12/2024,2,10/23/2019,01/12/2024,"Infusion Pump I.V. Administration, specifically Sapphire Microbore Infusion Sets with Inline Filters labeled as SAPPHIRE Epidural Set with NRFit Connector Yellow-Striped Microbore, 0.2 Micron Filter 119 Inch.   1 unit per pouch; 50 pouches per case 

",Potential for fluid leakage out of air vents on inline filters on Plum and Sapphire micropore infusion sets.,Z-0135-2020,"4,600 units",1939
175766,83549,Devices,Lake Forest,United States,Terminated,07/29/2019,ICU Medical Inc,"Nationwide distribution to AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VI, VT, WA, WI, WV, WY.  

International distribution to Canada, Chile, France, Germany, Greece, Hong Kong, Ireland, Italy, Oman, Philippines, Poland, Saudi Arabia, South Africa, Spain, Taiwan, Turkey, United Arab Emirates, United Kingdom.",CDRH,Illinois,10/14/2019,01/12/2024,2,10/23/2019,01/12/2024,"Infusion Pump I.V. Administration, specifically Sapphire Microbore Infusion Sets with Inline Filters labeled as SAPPHIRE Primary 0.2 Micron Filter Set Non-Vented, Microbore, PAV, CLAVE Y-Site, 122 Inch.   1 unit per pouch; 50 pouches per case 

",Potential for fluid leakage out of air vents on inline filters on Plum and Sapphire micropore infusion sets.,Z-0133-2020,"51,250 units",1940
175764,83549,Devices,Lake Forest,United States,Terminated,07/29/2019,ICU Medical Inc,"Nationwide distribution to AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VI, VT, WA, WI, WV, WY.  

International distribution to Canada, Chile, France, Germany, Greece, Hong Kong, Ireland, Italy, Oman, Philippines, Poland, Saudi Arabia, South Africa, Spain, Taiwan, Turkey, United Arab Emirates, United Kingdom.",CDRH,Illinois,10/14/2019,01/12/2024,2,10/23/2019,01/12/2024,"Infusion Pump I.V. Administration, specifically Sapphire Microbore Infusion Sets with Inline Filters labeled as SAPPHIRE Epidural Set Yellow-Striped Microbore, 0.2 Micron Filter 119 Inch.   1 unit per pouch; 50 pouches per case 

",Potential for fluid leakage out of air vents on inline filters on Plum and Sapphire micropore infusion sets.,Z-0131-2020,"155,150 units",1941
